name,company,year,Price,kms_driven,fuel_type
Aqua G Grade,Toyota,2013,5600000,90000,Hybrid
Aqua G Grade,Toyota,2012,4875000,92000,Hybrid
Aqua G Grade,Toyota,2014,6100000,92000,Hybrid
Aqua G Grade,Toyota,2012,4875000,92000,Hybrid
Aqua G Grade,Toyota,2014,6100000,92000,Hybrid
Aqua G Grade,Toyota,2013,5600000,98500,Petrol
Aqua G Grade,Toyota,2014,6100000,99000,Hybrid
Aqua G Grade,Toyota,2014,6100000,99500,Hybrid
Aqua G Grade,Toyota,2013,5600000,100000,Hybrid
Aqua G Grade,Toyota,2012,4875000,118000,Petrol
Aqua G Grade,Toyota,2012,4875000,121000,Hybrid
Aqua G Grade,Toyota,2012,4875000,127000,Hybrid
Aqua G Sport,Toyota,2014,5950000,50000,Hybrid
Aqua G Sport,Toyota,2014,5950000,53000,Hybrid
Aqua G Sport,Toyota,2014,5950000,53156,Petrol
Aqua G Sport,Toyota,2015,7200000,58000,Hybrid
Aqua G Sport,Toyota,2014,5950000,58500,Petrol
Aqua G Sport,Toyota,2014,5950000,61200,Hybrid
Aqua G Sport,Toyota,2014,5950000,65000,Hybrid
Aqua G Sport,Toyota,2014,5950000,71000,Hybrid
Aqua G Sport,Toyota,2015,7200000,73000,Petrol
Aqua G Sport,Toyota,2014,5950000,75000,Hybrid
Aqua G Sport,Toyota,2014,5950000,83000,Hybrid
Aqua G Sport,Toyota,2013,5500000,92000,Hybrid
Aqua S Grade,Toyota,2017,8200000,17000,Hybrid
Aqua S Grade,Toyota,2015,7490000,52300,Hybrid
Aqua S Grade,Toyota,2014,5900000,54000,Petrol
Aqua S Grade,Toyota,2014,5900000,60000,Petrol
Aqua S Grade,Toyota,2013,5500000,61632,Hybrid
Aqua S Grade,Toyota,2012,5125000,66000,Petrol
Aqua S Grade,Toyota,2012,5125000,67500,Hybrid
Aqua S Grade,Toyota,2012,5125000,68000,Petrol
Aqua S Grade,Toyota,2014,5900000,70000,Hybrid
Aqua S Grade,Toyota,2014,5900000,75000,Hybrid
Aqua S Grade,Toyota,2012,5125000,76000,Petrol
Aqua S Grade,Toyota,2016,7800000,77600,Hybrid
Aqua S Grade,Toyota,2012,5125000,78000,Petrol
Aqua S Grade,Toyota,2012,5125000,78000,Hybrid
Aqua S Grade,Toyota,2012,5125000,78000,Hybrid
Aqua S Grade,Toyota,2012,5125000,82000,Hybrid
Aqua S Grade,Toyota,2014,5900000,83400,Petrol
Aqua S Grade,Toyota,2012,5125000,87800,Hybrid
Aqua S Grade,Toyota,2012,5125000,92000,Petrol
Aqua S Grade,Toyota,2013,5500000,92000,Petrol
Aqua S Grade,Toyota,2015,7490000,92000,Hybrid
Aqua S Grade,Toyota,2012,5125000,93000,Petrol
Aqua S Grade,Toyota,2012,5125000,96000,Hybrid
Aqua S Grade,Toyota,2012,5125000,98000,Hybrid
Aqua S Grade,Toyota,2014,5900000,98000,Hybrid
Aqua S Grade,Toyota,2013,5500000,107000,Hybrid
Aqua S Grade,Toyota,2012,5125000,120000,Petrol
Aqua S Grade,Toyota,2013,5500000,130000,Petrol
Aqua S Grade,Toyota,2012,5125000,144500,Hybrid
Aqua X Urban,Toyota,2015,7500000,9000,Hybrid
Aqua X Urban,Toyota,2015,7500000,29000,Hybrid
Aqua X Urban,Toyota,2016,8000000,29000,Hybrid
Aqua X Urban,Toyota,2015,7500000,30000,Hybrid
Aqua X Urban,Toyota,2015,7500000,35000,Petrol
Aqua X Urban,Toyota,2015,7500000,40400,Hybrid
Aqua X Urban,Toyota,2015,7500000,52600,Petrol
Aqua X Urban,Toyota,2015,7500000,58000,Hybrid
Aqua X Urban,Toyota,2015,7500000,58000,Hybrid
Aqua X Urban,Toyota,2015,7500000,60000,Hybrid
Aqua X Urban,Toyota,2015,7500000,60000,Hybrid
Aqua X Urban,Toyota,2015,7500000,71300,Hybrid
Aqua X Urban,Toyota,2015,7500000,75876,Petrol
Aqua X Urban,Toyota,2015,7500000,80000,Hybrid
Aqua X Urban,Toyota,2015,7500000,80000,Hybrid
Aqua X Urban,Toyota,2015,7500000,85000,Hybrid
Aqua X Urban,Toyota,2015,7500000,87000,Hybrid
Aqua X Urban,Toyota,2015,7500000,89000,Hybrid
Aqua X Urban,Toyota,2015,7500000,93000,Petrol
Avanza,Toyota,2012,7250000,28000,Petrol
Avanza,Toyota,2012,7250000,48000,Petrol
Avanza,Toyota,2014,6500000,61000,Petrol
Avanza,Toyota,2011,5700000,61043,Petrol
Avanza,Toyota,2011,5700000,64000,Petrol
Avanza,Toyota,2012,7250000,71000,Petrol
Avanza,Toyota,2011,5700000,80000,Petrol
Avanza,Toyota,2007,4700000,88800,Petrol
Avanza,Toyota,2012,7250000,102000,Petrol
Avanza,Toyota,2010,5500000,103000,Petrol
Avanza,Toyota,2010,5500000,103000,Petrol
Avanza,Toyota,2008,4950000,108300,Petrol
Avanza,Toyota,2011,5700000,126000,Petrol
Avanza,Toyota,2012,7250000,145000,Petrol
Axio,Toyota,2019,11450000,1200,Hybrid
Axio,Toyota,2018,9300000,3751,Hybrid
Axio,Toyota,2017,8300000,9000,Hybrid
Axio,Toyota,2015,7500000,10100,Hybrid
Axio,Toyota,2018,9300000,11000,Petrol
Axio,Toyota,2015,7500000,13000,Hybrid
Axio,Toyota,2017,8300000,15000,Hybrid
Axio,Toyota,2018,9300000,15807,Hybrid
Axio,Toyota,2017,8300000,19300,Hybrid
Axio,Toyota,2017,8300000,19750,Petrol
Axio,Toyota,2017,8300000,23100,Hybrid
Axio,Toyota,2016,8550000,26000,Hybrid
Axio,Toyota,2017,8300000,27000,Hybrid
Axio,Toyota,2016,8550000,29000,Hybrid
Axio,Toyota,2015,7500000,30000,Hybrid
Axio,Toyota,2016,8550000,32000,Hybrid
Axio,Toyota,2016,8550000,35400,Hybrid
Axio,Toyota,2016,8550000,36000,Hybrid
Axio,Toyota,2016,8550000,36000,Petrol
Axio,Toyota,2017,8300000,36000,Hybrid
Axio,Toyota,2018,9300000,38000,Petrol
Axio,Toyota,2015,7500000,39000,Petrol
Axio,Toyota,2014,6250000,40000,Petrol
Axio,Toyota,2016,8550000,40000,Hybrid
Axio,Toyota,2014,6250000,41000,Hybrid
Axio,Toyota,2015,7500000,41000,Petrol
Axio,Toyota,2016,8550000,41000,Petrol
Axio,Toyota,2016,8550000,41000,Petrol
Axio,Toyota,2015,7500000,41500,Hybrid
Axio,Toyota,2015,7500000,44000,Hybrid
